Energy (MeV),Trapped AP-9 Fluence (cm-2 MeV-1),Solar Fluence (cm-2 MeV-1),Combined (cm-2 MeV-1)
1.0000E-01,7.3280E+15,3.4378E+13,7.3624E+15
1.1000E-01,6.5837E+15,2.9723E+13,6.6134E+15
1.2000E-01,5.9704E+15,2.5681E+13,5.9961E+15
1.4000E-01,5.0208E+15,1.9812E+13,5.0406E+15
1.6000E-01,4.1183E+15,1.5682E+13,4.1340E+15
1.8000E-01,3.3045E+15,1.2770E+13,3.3173E+15
2.0000E-01,2.7139E+15,1.0632E+13,2.7245E+15
2.2000E-01,2.2007E+15,9.0359E+12,2.2097E+15
2.5000E-01,1.6613E+15,7.2650E+12,1.6685E+15
2.8000E-01,1.2948E+15,5.9789E+12,1.3007E+15
3.2000E-01,8.9807E+14,4.7405E+12,9.0281E+14
3.5000E-01,6.6713E+14,4.0612E+12,6.7120E+14
4.0000E-01,4.2839E+14,3.2372E+12,4.3163E+14
4.5000E-01,2.2150E+14,2.6361E+12,2.2413E+14
5.0000E-01,1.2277E+14,2.1946E+12,1.2497E+14
5.5000E-01,8.3174E+13,1.8662E+12,8.5040E+13
6.3000E-01,4.6657E+13,1.4813E+12,4.8138E+13
7.1000E-01,2.7677E+13,1.2037E+12,2.8881E+13
8.0000E-01,1.9520E+13,9.7996E+11,2.0500E+13
9.0000E-01,1.3830E+13,7.9908E+11,1.4630E+13
1.0000E+00,1.0162E+13,6.6527E+11,1.0827E+13
1.1000E+00,6.7864E+12,5.6380E+11,7.3502E+12
1.2000E+00,4.6944E+12,4.8712E+11,5.1815E+12
1.4000E+00,2.4434E+12,3.7580E+11,2.8192E+12
1.6000E+00,1.4725E+12,2.9747E+11,1.7699E+12
1.8000E+00,9.9600E+11,2.4223E+11,1.2382E+12
2.0000E+00,7.0206E+11,2.0167E+11,9.0373E+11
2.2000E+00,3.7101E+11,1.7140E+11,5.4241E+11
2.5000E+00,1.5772E+11,1.3781E+11,2.9553E+11
2.8000E+00,7.3879E+10,1.1634E+11,1.9022E+11
3.2000E+00,3.4251E+10,9.9238E+10,1.3349E+11
3.5000E+00,2.2363E+10,8.7141E+10,1.0950E+11
4.0000E+00,1.1848E+10,6.8494E+10,8.0342E+10
4.5000E+00,1.2645E+09,5.5057E+10,5.6322E+10
5.0000E+00,1.7087E+08,4.7637E+10,4.7808E+10
5.5000E+00,8.3457E+07,4.2297E+10,4.2380E+10
6.3000E+00,1.2497E+07,3.2840E+10,3.2852E+10
7.1000E+00,7.7225E+05,2.7148E+10,2.7149E+10
8.0000E+00,3.4409E+05,2.2513E+10,2.2513E+10
9.0000E+00,1.5495E+05,1.7701E+10,1.7701E+10
1.0000E+01,7.5902E+04,1.5087E+10,1.5087E+10
1.1000E+01,0.0000E+00,1.3169E+10,1.3169E+10
1.2000E+01,0.0000E+00,1.0962E+10,1.0962E+10
1.4000E+01,0.0000E+00,8.1097E+09,8.1097E+09
1.6000E+01,0.0000E+00,6.3622E+09,6.3622E+09
1.8000E+01,0.0000E+00,5.0045E+09,5.0045E+09
2.0000E+01,0.0000E+00,4.0525E+09,4.0525E+09
2.2000E+01,0.0000E+00,3.3882E+09,3.3882E+09
2.5000E+01,0.0000E+00,2.5644E+09,2.5644E+09
2.8000E+01,0.0000E+00,2.0305E+09,2.0305E+09
3.2000E+01,0.0000E+00,1.4804E+09,1.4804E+09
3.5000E+01,0.0000E+00,1.2012E+09,1.2012E+09
4.0000E+01,0.0000E+00,8.8543E+08,8.8543E+08
4.5000E+01,0.0000E+00,6.6139E+08,6.6139E+08
5.0000E+01,0.0000E+00,5.0488E+08,5.0488E+08
5.5000E+01,0.0000E+00,3.9737E+08,3.9737E+08
6.3000E+01,0.0000E+00,2.7793E+08,2.7793E+08
7.1000E+01,0.0000E+00,1.9853E+08,1.9853E+08
8.0000E+01,0.0000E+00,1.4218E+08,1.4218E+08
9.0000E+01,0.0000E+00,1.0075E+08,1.0075E+08
1.0000E+02,0.0000E+00,7.1998E+07,7.1998E+07
1.1000E+02,0.0000E+00,5.2078E+07,5.2078E+07
1.2000E+02,0.0000E+00,3.9917E+07,3.9917E+07
1.4000E+02,0.0000E+00,2.5280E+07,2.5280E+07
1.6000E+02,0.0000E+00,1.6240E+07,1.6240E+07
1.8000E+02,0.0000E+00,1.0906E+07,1.0906E+07
2.0000E+02,0.0000E+00,7.6437E+06,7.6437E+06
2.2000E+02,0.0000E+00,5.5787E+06,5.5787E+06
2.5000E+02,0.0000E+00,3.6462E+06,3.6462E+06
2.8000E+02,0.0000E+00,2.4788E+06,2.4788E+06
3.2000E+02,0.0000E+00,1.4931E+06,1.4931E+06
3.5000E+02,0.0000E+00,1.0624E+06,1.0624E+06
4.0000E+02,0.0000E+00,6.5104E+05,6.5104E+05
4.5000E+02,0.0000E+00,4.1371E+05,4.1371E+05
5.0000E+02,0.0000E+00,2.4212E+05,2.4212E+05
